timestamp,benefits,employee_count,position,level,experience,lang_tool,salary_currency,salary,gender_Female,gender_Lgbt,gender_Male,gender_Unknownm,location_Abroad,location_Turkey,work_arrangement_Hybrid,work_arrangement_Office,work_arrangement_Remote
2023-01-31 21:41:18,"Road/fuel assistance, Gift vouchers on special occasions, Food aid, Education funds, Supplementary health insurance",51-150,0,0,0-1 Years,"Javascript / Typescript and  related frameworks, Python / R, Cloud tools ( AWS, Azure, GCP etc), Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,22500.0,0,1,0,0,0,1,1,0,0
2023-01-31 22:08:53,Unknown,1-50,0,0,0-1 Years,"Python / R, C, C++, Linux",TRY,6754.0,0,0,1,0,0,1,1,0,0
2023-01-31 22:58:10,Unknown,51-150,0,0,1-3 Years,Python / R,TRY,19000.0,0,0,1,0,0,1,0,0,1
2023-01-31 23:01:39,Supplementary health insurance,1-50,0,1,1-3 Years,"Python / R, Cloud tools ( AWS, Azure, GCP etc), SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Linux",TRY,22500.0,0,0,1,0,0,1,0,1,0
2023-01-31 23:29:28,"Meal card, Supplementary health insurance",1-50,0,0,0-1 Years,"Python / R, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman",TRY,22500.0,0,0,1,0,0,1,0,0,1
2023-02-01 00:28:23,"Meal card, Gift vouchers on special occasions, Supplementary health insurance",1-50,0,1,9-12 Years,"Python / R, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,41000.0,0,0,1,0,0,1,1,0,0
2023-02-01 00:44:36,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Leaandon certain days",10000 and Higher,0,2,5-9 Years,"Python / R, C, C++, Linux",TRY,33500.0,0,0,1,0,0,1,0,0,1
2023-02-01 00:52:34,"Meal card, Supplementary health insurance",601-1.000,0,1,1-3 Years,"Java and related frameworks, Python / R, Cloud tools ( AWS, Azure, GCP etc), SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Kubernetes",TRY,27500.0,0,0,1,0,0,1,0,0,1
2023-02-01 01:58:59,"Meal card, Road/fuel assistance, Supplementary health insurance",1-50,0,0,0-1 Years,"Python / R, C, C++",TRY,33500.0,0,0,1,0,0,1,0,0,1
2023-02-01 02:16:52,"Meal card, Supplementary health insurance",1-50,0,1,1-3 Years,"Python / R, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,41000.0,0,0,1,0,0,1,0,0,1
2023-02-01 02:22:33,"Meal card, Supplementary health insurance",1-50,0,0,1-3 Years,Python / R,TRY,27500.0,0,0,1,0,0,1,1,0,0
2023-02-01 08:18:39,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Food aid, Education funds, Supplementary health insurance, Life insurance, Retirement planning services",5.000-10.000,0,1,1-3 Years,"Python / R, SQL, NoSQL, DevOps tools, Linux",TRY,27500.0,0,0,1,0,0,1,0,0,1
2023-02-01 09:12:29,"Meal card, Road/fuel assistance, Gift vouchers on special occasions",301-600,0,0,0-1 Years,"Python / R, C, C++, Cloud tools ( AWS, Azure, GCP etc)",TRY,12500.0,0,0,1,0,0,1,1,0,0
2023-02-01 09:17:57,"Meal card, Road/fuel assistance, Supplementary health insurance",1-50,0,0,0-1 Years,"Javascript / Typescript and  related frameworks, Python / R, Golang, SQL",TRY,12500.0,0,0,1,0,0,1,1,0,0
2023-02-01 10:56:11,"Meal card, Food aid, Supplementary health insurance, Life insurance, Medical leave",5.000-10.000,0,1,3-5 Years,"Python / R, C, C++, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,41000.0,0,0,1,0,0,1,0,1,0
2023-02-01 11:12:36,"Meal card, Supplementary health insurance, Employee stock options",1-50,0,0,0-1 Years,"Java and related frameworks, Javascript / Typescript and  related frameworks, Python / R, Cloud tools ( AWS, Azure, GCP etc), SQL, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,22500.0,0,0,1,0,0,1,0,0,1
2023-02-01 12:00:47,"Meal card, Road/fuel assistance, Gym membership/discount, Company telephone, Supplementary health insurance, Leaandon certain days, Life insurance, Retirement planning services, Unemployment insurance, Workers compensation, Medical leave",1.000-5.000,0,2,5-9 Years,"Java and related frameworks, Python / R, SQL, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",TRY,62500.0,0,0,1,0,0,1,1,0,0
2023-02-01 13:48:11,Meal card,1-50,0,0,0-1 Years,"Javascript / Typescript and  related frameworks, Python / R, NoSQL",TRY,12500.0,0,0,1,0,0,1,0,1,0
2023-02-01 14:40:34,"Meal card, Life insurance",1-50,0,0,1-3 Years,"Python / R, Docker / containerd / Hyper-V / LXC / Podman",TRY,19000.0,0,0,1,0,0,1,0,0,1
2023-02-01 18:49:35,"Meal card, Road/fuel assistance, Gym membership/discount, Supplementary health insurance, Retirement planning services",1.000-5.000,0,0,1-3 Years,"Python / R, Docker / containerd / Hyper-V / LXC / Podman",TRY,22500.0,0,0,1,0,0,1,1,0,0
2023-02-01 19:28:29,"Meal card, Education funds",1-50,0,1,1-3 Years,"Python / R, C, C++, Cloud tools ( AWS, Azure, GCP etc), DevOps tools, No-code / Low-code tools",TRY,19000.0,0,0,1,0,0,1,0,0,1
2023-02-01 22:18:58,"Meal card, Supplementary health insurance",1-50,0,0,0-1 Years,"Python / R, Golang, SQL",TRY,12500.0,1,0,0,0,0,1,0,1,0
2023-02-02 12:55:39,"Leaandon certain days, Workers compensation",1.000-5.000,0,0,0-1 Years,Python / R,TRY,16500.0,0,0,1,0,0,1,0,0,1
2023-02-02 20:52:23,"Meal card, Road/fuel assistance, Supplementary health insurance",1.000-5.000,0,1,5-9 Years,"Python / R, SQL",TRY,41000.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:29:45,Meal card,1-50,1,0,1-3 Years,"C# / .NET Framework, SQL",TRY,22500.0,0,0,1,0,0,1,0,1,0
2023-01-31 21:30:50,"Meal card, Supplementary health insurance, Leaandon certain days, Life insurance",601-1.000,1,2,5-9 Years,"C# / .NET Framework, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman",TRY,41000.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:32:06,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Supplementary health insurance",151-300,1,0,1-3 Years,"Java and related frameworks, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,22500.0,0,0,1,0,0,1,0,1,0
2023-01-31 21:32:13,"Meal card, Road/fuel assistance, Company telephone, Supplementary health insurance",151-300,1,2,5-9 Years,"Java and related frameworks, Cloud tools ( AWS, Azure, GCP etc)",TRY,50000.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:32:55,Unknown,1-50,1,0,0-1 Years,"Javascript / Typescript and  related frameworks, PHP",TRY,9254.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:33:08,"Meal card, Gift vouchers on special occasions",51-150,1,0,0-1 Years,"C# / .NET Framework, Golang, SQL",TRY,12500.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:33:14,Supplementary health insurance,1-50,1,1,1-3 Years,PHP,TRY,9254.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:33:56,"Meal card, Supplementary health insurance, Leaandon certain days, Life insurance, Unemployment insurance",151-300,1,1,3-5 Years,Java and related frameworks,TRY,50000.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:34:23,"Meal card, Gift vouchers on special occasions, Supplementary health insurance",1-50,1,0,1-3 Years,Python / R,TRY,19000.0,0,0,1,0,1,0,0,0,1
2023-01-31 21:35:14,"Meal card, Supplementary health insurance",1.000-5.000,1,2,3-5 Years,"C# / .NET Framework, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,62500.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:35:16,"Meal card, Gift vouchers on special occasions, Education funds, Leaandon certain days",601-1.000,1,0,0-1 Years,Java and related frameworks,TRY,12500.0,0,0,1,0,0,1,0,0,1
2023-01-31 21:36:14,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Leaandon certain days",51-150,1,1,5-9 Years,C# / .NET Framework,TRY,33500.0,0,0,1,0,0,1,1,0,0
2023-01-31 21:37:22,"Meal card, Gym membership/discount, Supplementary health insurance",1.000-5.000,1,0,0-1 Years,"Java and related frameworks, Jira / Asana / Trello / Bitrix24 and  similar PM tools, No-code / Low-code tools, Docker / containerd / Hyper-V / LXC / Podman",USD,12500.0,0,0,1,0,0,1,1,0,0
