timestamp,gender,benefits,location,work_arrangement,employee_count ,position,level,experience,lang_tool,salary_currency,salary
1/31/2023 21:41:18,lgbt,"Road/fuel assistance, Gift vouchers on special occasions, Food aid, Education funds, Supplementary health insurance",Turkey,Hybrid,51-150,AI - ML Developer / Engineer,Junior,0-1 Years,"Javascript / Typescript and  related frameworks, Python / R, Cloud tools ( AWS, Azure, GCP etc), Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,20.001 - 25.000
1/31/2023 22:08:53,male,,Turkey,Hybrid,1-50,AI - ML Developer / Engineer,Junior,0-1 Years,"Python / R, C, C++, Linux",TRY,"5.001 - 8.506,80"
1/31/2023 22:58:10,male,,Turkey,Remote,51-150,AI - ML Developer / Engineer,Junior,1-3 Years,Python / R,TRY,18.001 - 20.000
1/31/2023 23:01:39,male,Supplementary health insurance,Turkey,Office,1-50,AI - ML Developer / Engineer,Mid,1-3 Years,"Python / R, Cloud tools ( AWS, Azure, GCP etc), SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Linux",TRY,20.001 - 25.000
1/31/2023 23:29:28,male,"Meal card, Supplementary health insurance",Turkey,Remote,1-50,AI - ML Developer / Engineer,Junior,0-1 Years,"Python / R, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman",TRY,20.001 - 25.000
2/1/2023 0:28:23,male,"Meal card, Gift vouchers on special occasions, Supplementary health insurance",Turkey,Hybrid,1-50,AI - ML Developer / Engineer,Mid,9-12 Years,"Python / R, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,37.001 - 45.000
2/1/2023 0:44:36,male,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Leaandon certain days",Turkey,Remote,10.000 and Older,AI - ML Developer / Engineer,Senior,5-9 Years,"Python / R, C, C++, Linux",TRY,30.001 - 37.000
2/1/2023 0:52:34,male,"Meal card, Supplementary health insurance",Turkey,Remote,601-1.000,AI - ML Developer / Engineer,Mid,1-3 Years,"Java and related frameworks, Python / R, Cloud tools ( AWS, Azure, GCP etc), SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Kubernetes",TRY,25.001 - 30.000
2/1/2023 1:58:59,male,"Meal card, Road/fuel assistance, Supplementary health insurance",Turkey,Remote,1-50,AI - ML Developer / Engineer,Junior,0-1 Years,"Python / R, C, C++",TRY,30.001 - 37.000
2/1/2023 2:16:52,male,"Meal card, Supplementary health insurance",Turkey,Remote,1-50,AI - ML Developer / Engineer,Mid,1-3 Years,"Python / R, Docker / containerd / Hyper-V / LXC / Podman, Linux",TRY,37.001 - 45.000
2/1/2023 2:22:33,male,"Meal card, Supplementary health insurance",Turkey,Hybrid,1-50,AI - ML Developer / Engineer,Junior,1-3 Years,Python / R,TRY,25.001 - 30.000
2/1/2023 8:18:39,male,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Food aid, Education funds, Supplementary health insurance, Life insurance, Retirement planning services",Turkey,Remote,5.000-10.000,AI - ML Developer / Engineer,Mid,1-3 Years,"Python / R, SQL, NoSQL, DevOps tools, Linux",TRY,25.001 - 30.000
2/1/2023 9:12:29,male,"Meal card, Road/fuel assistance, Gift vouchers on special occasions",Turkey,Hybrid,301-600,AI - ML Developer / Engineer,Junior,0-1 Years,"Python / R, C, C++, Cloud tools ( AWS, Azure, GCP etc)",TRY,10.001 - 15.000
